,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
0,Hermanus,3366880,-34.4187,19.2345,57.0,76,84,2.51
1,Jinchang,1805733,38.4953,102.1739,42.28,100,82,11.54
2,Rikitea,4030556,-23.1203,-134.9692,79.12,96,70,19.22
3,Atuona,4020109,-9.8,-139.0333,80.28,25,79,21.74
4,Novikovo,487928,51.1537,37.8879,52.45,96,74,7.63
5,Busselton,2075265,-33.65,115.3333,59.07,59,79,6.67
6,Albany,5106841,42.6001,-73.9662,54.46,17,27,5.01
7,Lensk,2020838,60.7253,114.9278,31.33,100,95,11.5
8,Port-Gentil,2396518,-0.7193,8.7815,80.64,82,75,6.69
9,Acajutla,3587498,13.5928,-89.8275,84.27,0,48,9.53
10,Tromsø,6453316,69.6496,18.957,35.47,40,80,4.61
11,Merauke,2082539,-8.4667,140.3333,78.21,89,87,5.17
12,Barrow,5880054,71.2906,-156.7887,12.2,1,85,3.44
13,Englewood,5421250,39.6478,-104.9878,51.96,75,32,6.91
14,Kuril'sk,2123979,45.2333,147.8833,34.02,64,90,6.06
15,Esim,2303611,4.8699,-2.2405,84.24,99,73,9.93
16,Katsuura,2112309,35.1333,140.3,53.78,0,67,13.8
17,Lavrentiya,4031637,65.5833,-171.0,23.32,94,72,2.66
18,Vila Franca do Campo,3372472,37.7167,-25.4333,60.8,40,67,28.77
19,Yellowknife,6185377,62.456,-114.3525,14.38,90,62,11.5
20,Kargasok,1504382,59.0556,80.8572,28.67,11,89,5.7
21,Dhidhdhoo,1337612,6.8833,73.1,83.82,16,72,6.53
22,Chui,3443061,-33.6971,-53.4616,73.99,34,62,12.15
23,Mil'kovo,2123278,54.7167,158.6167,31.23,91,91,1.74
24,New Norfolk,2155415,-42.7826,147.0587,48.96,95,79,1.01
25,Lagoa,3372964,39.05,-27.9833,57.67,7,77,33.73
26,Upernavik,3418910,72.7868,-56.1549,32.95,100,69,5.66
27,Cape Town,3369157,-33.9258,18.4232,60.8,0,82,5.75
28,Makurdi,2331140,7.7411,8.5121,95.76,24,39,13.58
29,Punta Arenas,3874787,-53.15,-70.9167,48.09,75,93,4.61
30,Thompson,6165406,55.7435,-97.8558,24.8,40,42,9.22
31,Ostrovnoy,556268,68.0531,39.5131,33.78,100,87,11.23
32,Victor Harbor,2059470,-35.5667,138.6167,53.01,100,90,6.78
33,Longyearbyen,2729907,78.2186,15.6401,15.8,0,67,4.61
34,Itapirapuã,3460697,-15.8233,-50.6133,88.0,4,32,1.45
35,Pecos,5528182,31.4229,-103.4932,76.87,1,11,19.57
36,Kapaa,5848280,22.0752,-159.319,71.53,40,78,12.66
37,Cabedelo,3404558,-6.9811,-34.8339,86.0,75,70,12.66
38,Mahébourg,934322,-20.4081,57.7,78.8,40,83,9.22
39,Den Helder,2757220,52.9599,4.7593,50.0,27,62,5.75
40,Husavik,2629833,66.0449,-17.3389,51.8,0,58,10.36
41,Puerto Ayora,3652764,-0.7393,-90.3518,81.59,40,70,11.5
42,Winslow,5321473,35.0242,-110.6974,66.2,1,19,19.57
43,Togur,1489499,58.3631,82.8265,26.37,7,92,3.74
44,Leh,1264976,34.1667,77.5833,31.44,100,73,6.67
45,Cabo San Lucas,3985710,22.8909,-109.9124,76.48,40,38,6.91
46,Dingle,1714733,10.9995,122.6711,77.27,100,81,6.15
47,Nioro,2412408,13.35,-15.75,104.13,37,9,4.45
48,Nikel,522260,69.4128,30.222,35.6,75,60,9.22
49,Saskylakh,2017155,71.9167,114.0833,31.42,100,98,11.65
50,Ushuaia,3833367,-54.8,-68.3,42.8,75,87,2.84
51,Luanda,2240449,-8.8368,13.2343,78.8,75,89,6.91
52,Rocha,3440777,-34.4833,-54.3333,75.0,6,57,11.81
53,Chokurdakh,2126123,70.6333,147.9167,-13.76,48,99,2.75
54,Bredasdorp,1015776,-34.5322,20.0403,57.2,48,77,2.3
55,Tuktoyaktuk,6170031,69.4541,-133.0374,10.4,75,79,8.05
56,Butaritari,2110227,3.0707,172.7902,81.37,97,77,8.66
57,Beloha,1067565,-25.1667,45.05,74.62,49,70,14.81
58,Lompoc,5367788,34.6391,-120.4579,50.79,58,76,6.2
59,Iquique,3887127,-20.2208,-70.1431,69.8,20,60,14.97
60,Bluff,2206939,-46.6,168.3333,44.01,28,95,1.99
61,Vaini,4032243,-21.2,-175.2,73.4,20,25,3.44
62,Narsaq,3421719,60.9167,-46.05,48.2,40,43,9.22
63,Grindavik,3416888,63.8424,-22.4338,44.6,90,100,20.71
64,Kabinda,215527,-6.1333,24.4833,74.21,100,78,4.38
65,Hilo,5855927,19.7297,-155.09,67.73,90,73,6.91
66,Antalaha,1071296,-14.9003,50.2788,73.35,98,92,5.57
67,Kahului,5847411,20.8947,-156.47,69.62,20,78,9.22
68,Port Alfred,964432,-33.5906,26.891,68.94,2,73,25.14
69,Kokkola,651943,63.8385,23.1307,33.24,90,93,10.36
70,Deputatsky,2028164,69.3,139.9,-6.41,97,99,3.65
71,Karratha,6620339,-20.7377,116.8463,77.79,1,37,6.6
72,Mercedes,3430708,-34.6515,-59.4307,80.33,74,60,3.0
73,Katherine,2068655,-14.4667,132.2667,66.2,14,63,6.91
74,Bowen,2174444,-20.0167,148.2333,66.2,90,94,11.5
75,Belle Fourche,5762718,44.6714,-103.8522,30.65,100,78,3.0
76,Torbay,6167817,47.6666,-52.7314,46.6,75,53,25.32
77,San Cristobal,3628473,7.7669,-72.225,89.6,20,55,14.97
78,Airai,1651810,-8.9266,125.4092,57.38,43,91,2.51
79,Donskoye,565289,45.4552,41.9741,52.39,0,62,8.95
80,Mataura,6201424,-46.1927,168.8643,44.01,30,95,1.99
81,Ponta do Sol,2264557,32.6667,-17.1,62.15,38,75,11.01
82,El Rodeo,3596249,14.9167,-91.9667,78.51,75,62,4.61
83,Laiyang,1804586,36.9758,120.7136,55.99,100,92,10.07
84,Santa Engracia,3108269,41.9406,-1.3245,69.98,76,30,17.27
85,Cluses,3024532,46.0625,6.575,62.73,20,19,5.75
86,San Julián,3985797,21.0167,-102.1667,83.01,30,50,13.02
87,Fort Nelson,5955902,58.8053,-122.7002,30.2,75,47,10.36
88,Jurm,1139085,36.8648,70.8342,46.04,1,50,5.1
89,Necochea,3430443,-38.5473,-58.7368,66.99,100,86,8.99
90,Saint Anthony,5044290,45.0205,-93.218,49.01,90,57,11.5
91,Aden,415189,12.7794,45.0367,82.24,0,79,15.46
92,Uinskoye,479442,56.8817,56.5813,40.24,100,89,5.57
93,Terrace,6162949,54.5163,-128.6035,46.4,75,42,16.11
94,Kimbe,2093967,-5.5502,150.1429,75.09,100,96,2.06
95,Qaanaaq,3831208,77.484,-69.3632,23.23,100,82,8.28
96,Hagi,1863418,34.4,131.4167,55.99,77,64,1.99
97,Hithadhoo,1282256,-0.6,73.0833,82.35,22,74,6.8
98,Onega,515246,63.9061,38.1404,48.79,100,79,8.79
99,Leavenworth,4274307,39.2333,-95.0336,53.04,100,76,3.0
100,Corcoran,5339539,36.098,-119.5604,63.01,1,59,5.75
101,Valparaíso,3868626,-33.0393,-71.6273,59.34,90,72,3.44
102,Ankang,1789065,32.68,109.0172,55.0,100,33,14.0
103,Akhtubinsk,583798,48.2795,46.1722,52.11,51,81,3.36
104,Sumaré,6322600,-22.8374,-47.252,77.0,20,41,4.88
105,Maniago,3174084,46.1706,12.7078,64.81,20,52,9.22
106,Avarua,4035715,-21.2078,-159.775,78.8,98,83,10.36
107,Zhangzhou,1785018,24.5133,117.6556,75.2,20,64,11.18
108,East London,1006984,-33.0153,27.9116,66.2,0,82,10.36
109,Cherskiy,2126199,68.75,161.3,16.2,100,92,9.19
110,Yermekeyevo,467260,54.0761,53.6712,45.54,100,86,12.37
111,Pimentel,3693584,-6.8367,-79.9342,73.98,0,61,17.27
112,Tasiilaq,3424607,65.6145,-37.6368,35.6,90,60,3.44
113,Saint Paul Harbor,5866583,57.79,-152.4072,41.0,90,87,6.91
114,George Town,1735106,5.4112,100.3354,78.33,40,94,3.44
115,Oranjemund,3354071,-28.55,16.4333,61.14,2,89,8.08
116,Kyra,2021041,49.5776,111.9753,35.8,91,75,1.16
117,Sinnamary,3380290,5.3833,-52.95,80.47,72,84,13.47
118,Honiara,2108502,-9.4333,159.95,76.84,96,89,1.57
119,Olafsvik,3414079,64.8945,-23.7142,43.74,100,91,13.35
120,George Town,1735106,5.4112,100.3354,78.33,40,94,3.44
121,Corner Brook,5927969,48.9667,-57.9484,39.13,90,65,12.66
122,Killam,5991888,52.7834,-111.8518,35.6,0,30,4.61
123,Taoudenni,2450173,22.6783,-3.9836,104.0,0,5,15.73
124,Pevek,2122090,69.7008,170.3133,4.46,82,98,3.6
125,Igrim,1505965,63.1906,64.4162,41.76,92,90,7.61
126,Humaitá,3664078,-7.5061,-63.0208,93.97,90,47,1.01
127,Nome,5870133,64.5011,-165.4064,32.67,1,64,9.22
128,Ambilobe,1082243,-13.2,49.05,75.79,85,77,6.53
129,Kirundo Province,432455,-2.5833,30.1667,71.6,40,73,5.75
130,Adrar,2381972,20.5022,-10.0711,97.23,0,5,10.56
131,Los Llanos de Aridane,2514651,28.6585,-17.9182,70.2,40,57,8.05
132,Korla,1529376,41.7597,86.1469,45.3,3,69,12.3
133,Nosy Varika,1058080,-20.5833,48.5333,71.42,24,91,3.53
134,Roald,3141667,62.5833,6.1333,37.99,40,65,8.05
135,Ilulissat,3423146,69.2167,-51.1,41.0,20,48,16.11
136,Klaksvík,2618795,62.2266,-6.589,44.6,75,93,4.61
137,Cayenne,3382160,4.9333,-52.3333,80.26,75,83,13.8
138,Saint-Philippe,935215,-21.3585,55.7679,71.87,90,78,18.41
139,Mezen',527321,65.8522,44.24,41.92,56,73,7.09
140,Qaqortoq,3420846,60.7167,-46.0333,48.2,40,43,9.22
141,Nikolskoye,546105,59.7035,30.7861,43.21,75,65,4.47
142,Severo-Kuril'sk,2121385,50.6789,156.125,34.68,100,93,6.17
143,Port Lincoln,2063036,-34.7333,135.8667,57.61,99,72,5.12
144,Beian,3160100,63.6559,9.5683,36.43,40,75,21.85
145,Ust-Tsilma,477940,65.441,52.1498,35.13,61,93,2.68
146,Hobart,2163355,-42.8794,147.3294,51.26,88,66,17.27
147,Correntina,3465373,-13.3433,-44.6367,87.62,48,43,2.44
148,San Ignacio Río Muerto,3970558,27.4167,-110.2333,71.6,1,40,5.75
149,Vestmanna,2610343,62.1564,-7.1664,44.6,75,93,4.61
150,Tocopilla,3869716,-22.092,-70.1979,69.31,13,64,8.12
151,Norman Wells,6089245,65.282,-126.8329,23.0,20,63,4.61
152,Killybegs,2963295,54.6333,-8.45,59.92,0,38,6.91
153,Jamestown,5122534,42.097,-79.2353,54.0,1,37,9.22
154,Benghazi,88319,32.1167,20.0667,80.24,36,32,10.58
155,Bethel,5282297,41.3712,-73.414,54.75,1,26,17.27
156,Tuy Hoa,1563281,13.0833,109.3,76.95,33,91,3.49
157,Mareeba,2158767,-17.0,145.4333,71.2,75,83,12.66
158,Hariāna,1270357,31.6378,75.8408,66.79,8,60,5.14
159,Tamiahua,3516376,21.2667,-97.45,83.08,100,69,2.01
160,Serowe,933088,-22.3833,26.7167,66.09,0,29,2.1
161,Samarai,2132606,-10.6167,150.6667,81.91,99,79,7.72
162,Berlevåg,780687,70.8578,29.0864,36.12,20,60,3.44
163,Champerico,3598787,14.3,-91.9167,87.8,75,70,6.22
164,Kaitangata,2208248,-46.2817,169.8464,51.01,35,88,1.01
165,Manokwari,1636308,-0.8667,134.0833,78.82,95,80,3.78
166,Jutaí,3663693,-5.1833,-68.9,82.62,100,70,6.85
167,Rafaela,3839479,-31.2503,-61.4867,70.81,98,72,5.46
168,Nemuro,2128975,43.3236,145.575,36.39,47,89,9.17
169,Ximeicun,1789289,24.9639,118.3794,75.2,20,64,11.18
170,Annau,162199,37.8876,58.516,77.0,40,36,13.8
171,Hasaki,2112802,35.7333,140.8333,46.06,0,81,6.91
172,Haines Junction,5969025,60.7522,-137.5108,37.4,14,48,3.44
173,Mar del Plata,3430863,-38.0023,-57.5575,71.67,40,73,6.91
174,Karpathos,260895,35.507,27.2132,66.2,0,68,5.28
175,Dikson,1507390,73.5069,80.5464,32.36,100,97,20.85
176,Nanortalik,3421765,60.1432,-45.2371,37.98,31,80,6.73
177,Acheng,2038679,45.5454,126.977,50.0,40,81,8.95
178,Goba,336350,7.0167,39.9833,50.63,60,90,4.03
179,Bambous Virieux,1106677,-20.3428,57.7575,78.89,40,83,9.22
180,Lüderitz,3355672,-26.6481,15.1594,64.56,1,79,13.35
181,Boca do Acre,3664956,-8.7522,-67.3978,92.23,84,48,3.2
182,Westport,4845585,41.1415,-73.3579,55.69,1,28,14.97
183,Bobrovka,1509955,54.047,61.7455,50.02,100,66,7.7
184,Kavaratti,1267390,10.5669,72.642,84.13,1,70,8.16
185,Mount Gambier,2156643,-37.8333,140.7667,50.0,40,93,8.05
186,Laguna,5364271,38.421,-121.4238,59.32,20,67,3.44
187,Maxixe,1039536,-23.8597,35.3472,70.39,5,75,6.4
188,Carnarvon,2074865,-24.8667,113.6333,69.8,1,83,8.05
189,Mastic Beach,5126209,40.7668,-72.8521,53.11,1,28,16.11
190,Grand-Santi,3381538,4.25,-54.3833,80.53,79,89,4.16
191,Kupang,2057087,-10.1667,123.5833,76.64,11,84,6.73
192,Khani,610864,41.9563,42.9566,55.4,0,71,5.75
193,Ulundi,946257,-28.3352,31.4162,58.5,30,86,5.01
194,Río Gallegos,3838859,-51.6226,-69.2181,51.8,0,54,3.44
195,Puerto Ayacucho,3629710,5.6639,-67.6236,94.39,23,44,2.33
196,Cidreira,3466165,-30.1811,-50.2056,72.7,83,69,16.02
197,Havøysund,779622,70.9963,24.6622,35.64,75,70,5.75
198,Kruisfontein,986717,-34.0033,24.7314,71.01,1,69,3.0
199,Russell,4047434,32.3502,-85.1999,68.58,75,26,8.05
200,Port Elizabeth,964420,-33.918,25.5701,66.2,0,82,19.57
201,Esperance,2071860,-33.8667,121.9,55.4,100,94,8.05
202,Castro,3466704,-24.7911,-50.0119,70.92,3,44,0.81
203,Port Blair,1259385,11.6667,92.75,81.39,46,71,7.16
204,Hamilton,4513583,39.1834,-84.5333,55.15,90,35,13.8
205,Porto-Novo,2392087,6.4965,2.6036,87.8,20,74,14.97
206,Havre-St-Pierre,5972291,50.2334,-63.5986,35.6,90,87,17.27
207,Matola,1039854,-25.9622,32.4589,67.69,75,88,9.22
208,Mīrābād,1133310,30.4362,61.8383,81.48,0,5,8.7
209,Smithers,6149996,54.7804,-127.1743,44.6,20,39,5.75
210,Ahipara,2194098,-35.1667,173.1667,61.52,11,86,10.74
211,Castelo do Piauí,3402548,-5.3222,-41.5525,82.94,67,74,3.04
212,Faanui,4034551,-16.4833,-151.75,80.2,46,75,11.79
213,Quesnel,6115187,52.9999,-122.5029,41.0,1,38,3.44
214,Nouadhibou,2377457,20.931,-17.0347,71.6,0,68,19.57
215,Sangmélima,2222230,2.9333,11.9833,74.66,98,84,5.08
216,Gouré,2444219,13.9835,10.2704,100.99,13,7,9.6
217,Hibbing,5030005,47.4272,-92.9377,43.56,90,81,6.91
218,Bom Jesus,3405304,-9.0744,-44.3586,87.78,84,53,3.22
219,Clyde River,5924351,70.4692,-68.5914,19.4,40,93,10.36
220,Bartica,3379507,6.4,-58.6167,82.4,40,83,18.41
221,Pāveh,121240,35.0434,46.3565,61.7,86,30,3.24
222,Hofn,2630299,64.2539,-15.2082,46.4,90,76,2.51
223,Berdigestyakh,2026861,62.0989,126.6992,23.27,91,91,11.65
224,Nipawin,6088469,53.3668,-104.0009,33.8,75,44,10.36
225,Inuvik,5983607,68.3499,-133.7218,23.92,82,54,5.75
226,Mocajuba,3394745,-2.5842,-49.5072,84.78,70,72,1.59
227,Ribeira Grande,3372707,38.5167,-28.7,60.8,40,67,33.38
228,Veseloyarsk,1487164,51.2836,81.1056,33.87,74,65,6.4
229,Gravelbourg,5965462,49.8834,-106.5512,30.2,88,34,8.05
230,Shihezi,1529195,44.3,86.0333,39.61,100,60,6.53
231,Conde,3385077,-7.2597,-34.9075,86.0,75,70,12.66
232,Sitka,5557293,57.0531,-135.33,46.4,1,57,5.75
233,Yar-Sale,1486321,66.8333,70.8333,34.72,100,99,11.63
234,Salto,3440714,-31.3833,-57.9667,83.53,20,45,8.05
235,Akdağmadeni,324768,39.6603,35.8836,53.92,81,35,4.23
236,Kavieng,2094342,-2.5744,150.7967,76.33,100,86,10.58
237,Iqaluit,5983720,63.7506,-68.5145,28.2,90,80,5.75
238,Flinders,6255012,-34.5833,150.8552,50.86,15,76,1.01
239,Gushikawa,1863495,26.3544,127.8686,69.51,90,78,18.41
240,Sørland,3137469,67.667,12.6934,37.4,40,75,19.57
241,Maricá,3457708,-22.9194,-42.8186,80.37,20,61,16.11
242,Broome,5110365,42.2506,-75.833,51.51,1,37,19.57
243,Gladstone,2165478,-23.85,151.25,68.0,40,56,1.14
244,Tharād,1254638,24.3961,71.6267,86.41,0,49,12.08
245,Pizarro,3672086,4.9533,-77.366,84.49,61,69,9.35
246,Arraial do Cabo,3471451,-22.9661,-42.0278,77.0,0,73,21.85
247,Margate,2643044,51.3813,1.3862,49.28,1,60,1.99
248,Shankargarh,1256650,25.1833,81.6167,90.27,33,10,5.97
249,Pisco,3932145,-13.7,-76.2167,70.32,0,73,11.5
250,Galle,1246294,6.0367,80.217,81.61,9,79,8.03
251,Mbaïki,2384770,3.8678,17.9892,75.15,70,85,3.74
252,Angoche,1052944,-16.2325,39.9086,76.91,37,76,8.79
253,Namatanai,2090021,-3.6667,152.4333,76.68,100,88,3.6
254,Kenai,5866063,60.5544,-151.2583,42.06,1,56,5.75
255,Provideniya,4031574,64.3833,-173.3,33.06,99,69,2.06
256,Buraidah,107304,26.326,43.975,89.6,20,14,12.66
257,Kiama,2161515,-34.6833,150.8667,51.06,10,73,1.01
258,Euclides da Cunha,3463698,-10.5075,-39.0158,83.53,63,58,7.94
259,Salalah,286621,17.0151,54.0924,84.2,20,74,4.61
260,Coruripe,3465329,-10.1256,-36.1756,85.01,9,63,11.72
261,La Rioja,3336897,42.25,-2.5,66.96,20,34,14.97
262,Tessalit,2449893,20.1986,1.0114,100.44,0,5,13.69
263,Harper,2276492,4.375,-7.7169,84.56,94,73,10.49
264,Guilin,1809498,25.2819,110.2864,75.2,40,83,2.24
265,Wasilla,5877641,61.5814,-149.4394,42.71,1,46,2.55
266,Bousso,2434584,10.4795,16.7117,97.66,97,24,13.27
267,Alizai,1184626,33.5383,70.3462,65.39,58,43,1.83
268,Taltal,3870243,-25.4,-70.4833,65.64,1,67,7.07
269,Mount Isa,2065594,-20.7333,139.5,68.0,1,26,12.66
270,Yerbogachën,2012956,61.2767,108.0108,30.97,100,84,7.11
271,São Filipe,3374210,14.8961,-24.4956,73.26,9,72,13.51
272,Alexandria,361058,31.2156,29.9553,68.0,0,68,6.91
273,Tuatapere,2180815,-46.1333,167.6833,44.01,48,95,1.99
274,Pulaski,4127619,34.7668,-92.3001,60.33,90,55,13.8
275,Bengkulu,1649150,-3.8004,102.2655,74.91,80,90,4.0
276,Marana,5303705,32.4367,-111.2254,69.8,1,21,5.75
277,Kundiawa,2093059,-6.0167,144.9667,62.37,100,96,2.13
278,Labuhan,8079926,-6.8844,112.2051,77.14,82,79,5.12
279,Coquimbo,3893629,-29.9533,-71.3436,62.6,90,67,4.61
280,Launceston,2160517,-41.45,147.1667,44.28,77,93,12.66
281,Saint George,5546220,37.1041,-113.5841,68.29,1,20,9.46
282,Cockburn Town,3576994,21.4612,-71.1419,82.4,40,65,9.22
283,Inhambane,1045114,-23.865,35.3833,71.56,4,73,7.34
284,Leningradskiy,2123814,69.3833,178.4167,24.49,100,94,4.97
285,Nahavand,122915,34.1885,48.377,63.9,95,45,3.24
